Date,Open,High,Low,Close,Adj Close,Volume
19/05/2016,0.006025,0.006042,0.005988,0.006032,0.006032,797005
20/05/2016,0.006028,0.006084,0.00602,0.006084,0.006084,549413
21/05/2016,0.00609,0.006098,0.005988,0.00599,0.00599,217884
22/05/2016,0.005989,0.005992,0.005933,0.005936,0.005936,273758
23/05/2016,0.005935,0.005936,0.005905,0.005909,0.005909,507430
24/05/2016,0.005911,0.005964,0.005898,0.005962,0.005962,471659
25/05/2016,0.005962,0.005965,0.005754,0.005756,0.005756,517124
26/05/2016,0.005757,0.005757,0.005641,0.005669,0.005669,678744
27/05/2016,0.00567,0.005706,0.00565,0.005679,0.005679,1073760
28/05/2016,0.005676,0.005738,0.005659,0.005682,0.005682,889921
29/05/2016,0.005682,0.005729,0.005614,0.005662,0.005662,829452
30/05/2016,0.005664,0.005771,0.005645,0.005748,0.005748,476095
31/05/2016,0.005746,0.005758,0.005689,0.005706,0.005706,847636
01/06/2016,0.005701,0.005812,0.00569,0.005809,0.005809,1018470
02/06/2016,0.005809,0.005815,0.005757,0.005766,0.005766,611429
03/06/2016,0.005766,0.00587,0.005741,0.005827,0.005827,437813
04/06/2016,0.005829,0.005882,0.005755,0.00578,0.00578,617159
05/06/2016,0.005779,0.00582,0.005779,0.005796,0.005796,544201
06/06/2016,0.005795,0.0058,0.005751,0.005769,0.005769,690096
07/06/2016,0.005764,0.005787,0.005753,0.00578,0.00578,783409
08/06/2016,0.00578,0.005785,0.005753,0.00577,0.00577,754945
09/06/2016,0.005769,0.005789,0.00575,0.005788,0.005788,520793
10/06/2016,0.005785,0.005788,0.005732,0.005736,0.005736,526917
11/06/2016,0.005737,0.005766,0.005722,0.005766,0.005766,398757
12/06/2016,0.005766,0.005885,0.005747,0.005852,0.005852,1133540
13/06/2016,0.005852,0.005856,0.005765,0.005824,0.005824,1537720
14/06/2016,0.005828,0.007577,0.005798,0.007105,0.007105,9904250
15/06/2016,0.007093,0.007166,0.006871,0.006887,0.006887,3269290
16/06/2016,0.006889,0.006918,0.006624,0.006676,0.006676,3072370
17/06/2016,0.006681,0.00677,0.006637,0.006693,0.006693,2143830
18/06/2016,0.006693,0.006705,0.006529,0.006604,0.006604,1190870
19/06/2016,0.006585,0.00698,0.006561,0.006813,0.006813,2413110
20/06/2016,0.006818,0.006893,0.006626,0.006626,0.006626,1710410
21/06/2016,0.00663,0.006635,0.005976,0.006172,0.006172,3258040
22/06/2016,0.006179,0.00679,0.006084,0.006495,0.006495,5052140
23/06/2016,0.006519,0.006638,0.006253,0.006381,0.006381,3207640
24/06/2016,0.00638,0.006561,0.006348,0.006434,0.006434,2408230
25/06/2016,0.006427,0.006536,0.006383,0.006414,0.006414,1175110
26/06/2016,0.006409,0.006479,0.006354,0.0064,0.0064,1236360
27/06/2016,0.006402,0.006429,0.006364,0.006398,0.006398,1136160
28/06/2016,0.006407,0.006829,0.006407,0.006773,0.006773,3149120
29/06/2016,0.006775,0.006936,0.00667,0.006777,0.006777,2063960
30/06/2016,0.006778,0.006956,0.00664,0.006657,0.006657,1046580
01/07/2016,0.006651,0.006837,0.006633,0.006787,0.006787,993538
02/07/2016,0.006788,0.006809,0.006691,0.006699,0.006699,503769
03/07/2016,0.006714,0.006734,0.006582,0.006607,0.006607,536311
04/07/2016,0.006621,0.008447,0.006599,0.007028,0.007028,875970
05/07/2016,0.007029,0.007064,0.006659,0.006699,0.006699,598865
06/07/2016,0.006716,0.006743,0.006687,0.006691,0.006691,600195
07/07/2016,0.006689,0.006699,0.006495,0.006598,0.006598,789693
08/07/2016,0.006609,0.006715,0.006563,0.006715,0.006715,604076
09/07/2016,0.006717,0.006718,0.006624,0.006679,0.006679,577447
10/07/2016,0.006672,0.006676,0.006621,0.006674,0.006674,571047
11/07/2016,0.006671,0.00669,0.00653,0.006534,0.006534,722627
12/07/2016,0.006534,0.006593,0.00635,0.00635,0.00635,977958
13/07/2016,0.00635,0.006437,0.00635,0.006411,0.006411,942245
14/07/2016,0.006408,0.006425,0.006377,0.006385,0.006385,682894
15/07/2016,0.006388,0.006452,0.006388,0.006442,0.006442,753167
16/07/2016,0.006442,0.006572,0.00644,0.006572,0.006572,659904
17/07/2016,0.006571,0.006591,0.006516,0.006538,0.006538,529265
18/07/2016,0.006538,0.00654,0.006481,0.006482,0.006482,442793
19/07/2016,0.006479,0.006485,0.006397,0.006405,0.006405,550843
20/07/2016,0.006404,0.006422,0.00638,0.006395,0.006395,790117
21/07/2016,0.00639,0.006564,0.006374,0.006416,0.006416,811193
22/07/2016,0.006417,0.006423,0.006303,0.006303,0.006303,780192
23/07/2016,0.006303,0.006335,0.00627,0.006317,0.006317,356569
24/07/2016,0.006328,0.006333,0.006228,0.006286,0.006286,315687
25/07/2016,0.006293,0.006297,0.006225,0.006246,0.006246,881632
26/07/2016,0.006246,0.00625,0.005983,0.005998,0.005998,1547830
27/07/2016,0.005996,0.006008,0.005954,0.005969,0.005969,1370090
28/07/2016,0.005973,0.005986,0.005947,0.005974,0.005974,1264650
29/07/2016,0.005974,0.006112,0.005969,0.006111,0.006111,779667
30/07/2016,0.006112,0.006164,0.006107,0.006121,0.006121,442025
31/07/2016,0.006118,0.006122,0.005944,0.005945,0.005945,648205
01/08/2016,0.005942,0.005942,0.005904,0.005906,0.005906,958956
02/08/2016,0.005911,0.005933,0.005686,0.00569,0.00569,1553690
03/08/2016,0.005688,0.005701,0.00563,0.005646,0.005646,1570660
04/08/2016,0.005646,0.00582,0.005644,0.005816,0.005816,1007960
05/08/2016,0.005821,0.00645,0.005813,0.006447,0.006447,697388
06/08/2016,0.006448,0.00656,0.006239,0.006337,0.006337,2164530
07/08/2016,0.006337,0.006337,0.006156,0.006178,0.006178,1303100
08/08/2016,0.00616,0.00618,0.006021,0.006027,0.006027,722628
09/08/2016,0.006027,0.006181,0.006003,0.006163,0.006163,1105300
10/08/2016,0.006147,0.006221,0.006109,0.006194,0.006194,865808
11/08/2016,0.006196,0.006217,0.006162,0.006189,0.006189,407711
12/08/2016,0.006188,0.006189,0.006101,0.006123,0.006123,646843
13/08/2016,0.006119,0.006141,0.00608,0.006092,0.006092,602600
14/08/2016,0.006092,0.006093,0.005968,0.005994,0.005994,499048
15/08/2016,0.005993,0.006062,0.005969,0.006045,0.006045,488337
16/08/2016,0.006045,0.006188,0.00603,0.00614,0.00614,1249860
17/08/2016,0.006144,0.006158,0.006099,0.006109,0.006109,1352830
18/08/2016,0.0061,0.006123,0.006044,0.006122,0.006122,1080170
19/08/2016,0.00612,0.006199,0.006093,0.006119,0.006119,1356390
20/08/2016,0.006126,0.006148,0.006085,0.006114,0.006114,399635
21/08/2016,0.006116,0.006117,0.006012,0.006052,0.006052,411952
22/08/2016,0.006055,0.006072,0.005883,0.006,0.006,686434
23/08/2016,0.006002,0.006054,0.00596,0.006019,0.006019,979256
24/08/2016,0.006015,0.006059,0.005989,0.006052,0.006052,1118660
25/08/2016,0.006049,0.006085,0.006028,0.006079,0.006079,716326
26/08/2016,0.006083,0.006097,0.006019,0.00603,0.00603,578722
27/08/2016,0.006018,0.006042,0.005971,0.005975,0.005975,233262
28/08/2016,0.005974,0.006001,0.005955,0.005963,0.005963,592108
29/08/2016,0.005961,0.00614,0.005938,0.006131,0.006131,1527760
30/08/2016,0.00612,0.006129,0.006006,0.006026,0.006026,928043
31/08/2016,0.006036,0.006045,0.005915,0.006012,0.006012,1169040
01/09/2016,0.006013,0.00603,0.00598,0.005984,0.005984,660021
02/09/2016,0.005979,0.005985,0.005959,0.00597,0.00597,583636
03/09/2016,0.005967,0.005992,0.005928,0.005964,0.005964,698318
04/09/2016,0.005964,0.006002,0.005905,0.005954,0.005954,800373
05/09/2016,0.005948,0.005966,0.005889,0.005932,0.005932,784460
06/09/2016,0.005933,0.005955,0.0059,0.005912,0.005912,773525
07/09/2016,0.005915,0.005925,0.005888,0.005892,0.005892,686254
08/09/2016,0.005892,0.005941,0.005892,0.005902,0.005902,869389
09/09/2016,0.005901,0.005907,0.005857,0.005869,0.005869,849260
10/09/2016,0.005872,0.005882,0.005859,0.00587,0.00587,310034
11/09/2016,0.005866,0.005895,0.005815,0.005842,0.005842,533904
12/09/2016,0.005844,0.005912,0.005837,0.005897,0.005897,680932
13/09/2016,0.005899,0.005905,0.005871,0.005886,0.005886,836942
14/09/2016,0.005888,0.006042,0.005881,0.005961,0.005961,1048560
15/09/2016,0.005969,0.008765,0.005953,0.008303,0.008303,15967600
16/09/2016,0.008286,0.008333,0.0072,0.007446,0.007446,12342800
17/09/2016,0.007391,0.007535,0.006998,0.007018,0.007018,1646260
18/09/2016,0.007017,0.007019,0.006788,0.006853,0.006853,2231350
19/09/2016,0.006855,0.007178,0.006795,0.006858,0.006858,2930120
20/09/2016,0.006865,0.006911,0.006748,0.006785,0.006785,1365440
21/09/2016,0.006809,0.006908,0.006709,0.006829,0.006829,1719470
22/09/2016,0.006833,0.006986,0.006809,0.006843,0.006843,1491330
23/09/2016,0.006848,0.0073,0.006807,0.007211,0.007211,3104540
24/09/2016,0.007234,0.007424,0.00717,0.007362,0.007362,2170050
25/09/2016,0.007356,0.007986,0.007316,0.007855,0.007855,4699860
26/09/2016,0.007872,0.008593,0.007847,0.007963,0.007963,9102940
27/09/2016,0.007959,0.008306,0.007919,0.008229,0.008229,6131430
28/09/2016,0.00822,0.009082,0.00822,0.009048,0.009048,7558520
29/09/2016,0.009065,0.00909,0.008707,0.008914,0.008914,5974090
30/09/2016,0.00891,0.00924,0.008789,0.00883,0.00883,7561150
01/10/2016,0.008839,0.008848,0.008186,0.008205,0.008205,5895530
02/10/2016,0.008197,0.008316,0.008084,0.008165,0.008165,2072840
03/10/2016,0.008165,0.008241,0.008065,0.008089,0.008089,2776300
04/10/2016,0.008115,0.008132,0.007853,0.007853,0.007853,2642950
05/10/2016,0.007873,0.007895,0.007407,0.007435,0.007435,4840340
06/10/2016,0.007429,0.00746,0.007321,0.007382,0.007382,2826190
07/10/2016,0.007377,0.007459,0.00735,0.007377,0.007377,3042600
08/10/2016,0.007371,0.007377,0.00726,0.00731,0.00731,2019560
09/10/2016,0.00731,0.007563,0.007299,0.007543,0.007543,3390900
10/10/2016,0.007542,0.008105,0.007542,0.007978,0.007978,6150610
11/10/2016,0.007993,0.008324,0.007905,0.008234,0.008234,4003630
12/10/2016,0.008208,0.008507,0.007934,0.007949,0.007949,2943130
13/10/2016,0.007951,0.007984,0.007867,0.007982,0.007982,1009720
14/10/2016,0.00798,0.00896,0.00797,0.008767,0.008767,1915430
15/10/2016,0.008769,0.008885,0.00813,0.008146,0.008146,781979
16/10/2016,0.008137,0.00823,0.008055,0.008078,0.008078,608355
